BoroName,BoroCode,NTACode,NTAName,Shape_Area,NYC_NTA_po,NYC_NTA__1,NYC_NTA__4,BB_2018,NYC_pop,stan_2018,BB_2018_C,stan_2018_
Queens,"4",QN99,park-cemetery-etc-Queens,11184981.641899999231100,Queens,"2010","436",0,"436","0",2,"459"
Queens,"4",QN12,Hammels-Arverne-Edgemere,7609021.167000000365078,Queens,"2010","36885",7,"36885","19",22,"60"
Brooklyn,"3",BK81,Brownsville,1605933.842849999899045,Brooklyn,"2010","58300",38,"58300","65",121,"208"
Brooklyn,"3",BK79,Ocean Hill,2785736.310109999962151,Brooklyn,"2010","31935",43,"31935","135",39,"122"
Bronx,"2",BX49,Pelham Parkway,1640625.778870000038296,Bronx,"2010","30073",12,"30073","40",28,"93"
Queens,"4",QN17,Forest Hills,1762224.528269999893382,Queens,"2010","83728",30,"83728","36",50,"60"
Brooklyn,"3",BK75,Bedford,1795931.618130000075325,Brooklyn,"2010","70713",38,"70713","54",56,"79"
Queens,"4",QN18,Rego Park,1451116.942670000018552,Queens,"2010","28260",14,"28260","50",16,"57"
Brooklyn,"3",BK76,Greenpoint,1532199.801209999946877,Brooklyn,"2010","34719",28,"34719","81",21,"60"
Queens,"4",QN19,Glendale,1693386.238589999964461,Queens,"2010","32496",4,"32496","12",3,"9"
Brooklyn,"3",BK77,Bushwick North,1595494.713840000098571,Brooklyn,"2010","57138",67,"57138","117",29,"51"
Brooklyn,"3",BK78,Bushwick South,895739.696789999958128,Brooklyn,"2010","72101",48,"72101","67",49,"68"
Bronx,"2",BX46,Parkchester,2077421.793479999992996,Bronx,"2010","29821",16,"29821","54",97,"325"
Queens,"4",QN15,Far Rockaway-Bayswater,6931019.239570000208914,Queens,"2010","50058",46,"50058","92",22,"44"
Staten Island,"5",SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,7019454.656320000067353,Staten Island,"2010","31474",19,"31474","60",8,"25"
Brooklyn,"3",BK93,Starrett City,4521101.277780000120401,Brooklyn,"2010","13354",9,"13354","67",46,"344"
Staten Island,"5",SI14,Grasmere-Arrochar-Ft. Wadsworth,5788237.961640000343323,Staten Island,"2010","16079",0,"16079","0",6,"37"
Manhattan,"1",MN03,Central Harlem North-Polo Grounds,1602693.822200000053272,Manhattan,"2010","75282",162,"75282","215",173,"230"
Brooklyn,"3",BK95,Erasmus,1965032.156419999897480,Brooklyn,"2010","29938",62,"29938","207",27,"90"
Bronx,"2",BX41,Mount Hope,731673.265110000036657,Bronx,"2010","51807",98,"51807","189",89,"172"
Manhattan,"1",MN04,Hamilton Heights,2960365.531930000055581,Manhattan,"2010","48520",93,"48520","192",107,"221"
