C_Year,C_Month,dv,count,C_Month_Year,bb_raw,pop,stan_pop,stan_calls,r_raw,r_stan_pop,r_stan_calls
2018,11,TRUE,516487,11/1/18,439,8443713,5.199134551,0.000849973,1375,16.28430526,0.002662216
2018,12,TRUE,462967,12/1/18,357,8443713,4.227997801,0.000771113,1044,12.36422886,0.00225502
2019,1,TRUE,542184,1/1/19,421,8398748,5.012651886,0.000776489,1115,13.27578825,0.002056497
2019,2,TRUE,455297,2/1/19,340,8398748,4.048222426,0.000746765,1044,12.43042415,0.002293009
2019,3,TRUE,485191,3/1/19,350,8398748,4.167287791,0.000721365,1022,12.16848035,0.002106387
2019,4,TRUE,480934,4/1/19,374,8398748,4.453044668,0.000777653,1082,12.88287254,0.002249789
2019,5,TRUE,494272,5/1/19,394,8398748,4.691175399,0.000797132,1143,13.60917127,0.002312492
2019,6,TRUE,499507,6/1/19,511,8398748,6.084240175,0.001023009,1397,16.63343155,0.002796758
2019,7,TRUE,445646,7/1/19,567,8398748,6.751006221,0.00127231,1570,18.69326238,0.003522976
2019,8,TRUE,425222,8/1/19,521,8398748,6.20330554,0.001225242,1640,19.52671993,0.003856809
2019,9,TRUE,445462,9/1/19,508,8398748,6.048520565,0.001140389,1643,19.56243954,0.003688306
2019,10,TRUE,445585,10/1/19,482,8398748,5.738950615,0.001081724,1753,20.87215856,0.003934154
2019,11,TRUE,428926,11/1/19,390,8398748,4.643549253,0.000909248,1431,17.0382538,0.00333624
