"","b_year","borough","date","count","C_Year","C_Month","C_Day","population"
"146","MANHATTAN_2015","MANHATTAN",2015-10-01,210,2015,10,1,1629507
"211","QUEENS_2015","QUEENS",2015-10-01,116,2015,10,1,2301139
"276","STATEN_ISLAND_2015","STATEN ISLAND",2015-10-01,24,2015,10,1,472481
"17","BRONX_2015","BRONX",2015-11-01,182,2015,11,1,1428357
"82","BROOKLYN_2015","BROOKLYN",2015-11-01,281,2015,11,1,2595259
"147","MANHATTAN_2015","MANHATTAN",2015-11-01,179,2015,11,1,1629507
"212","QUEENS_2015","QUEENS",2015-11-01,113,2015,11,1,2301139
"277","STATEN_ISLAND_2015","STATEN ISLAND",2015-11-01,12,2015,11,1,472481
"18","BRONX_2015","BRONX",2015-12-01,157,2015,12,1,1428357
"83","BROOKLYN_2015","BROOKLYN",2015-12-01,230,2015,12,1,2595259
"148","MANHATTAN_2015","MANHATTAN",2015-12-01,180,2015,12,1,1629507
"213","QUEENS_2015","QUEENS",2015-12-01,88,2015,12,1,2301139
"278","STATEN_ISLAND_2015","STATEN ISLAND",2015-12-01,13,2015,12,1,472481
"19","BRONX_2016","BRONX",2016-01-01,63,2016,1,1,1436785
"84","BROOKLYN_2016","BROOKLYN",2016-01-01,110,2016,1,1,2606852
"149","MANHATTAN_2016","MANHATTAN",2016-01-01,110,2016,1,1,1634989
"214","QUEENS_2016","QUEENS",2016-01-01,64,2016,1,1,2310011
"279","STATEN_ISLAND_2016","STATEN ISLAND",2016-01-01,6,2016,1,1,473324
"20","BRONX_2016","BRONX",2016-02-01,122,2016,2,1,1436785
"85","BROOKLYN_2016","BROOKLYN",2016-02-01,205,2016,2,1,2606852
"150","MANHATTAN_2016","MANHATTAN",2016-02-01,117,2016,2,1,1634989
"215","QUEENS_2016","QUEENS",2016-02-01,115,2016,2,1,2310011
"280","STATEN_ISLAND_2016","STATEN ISLAND",2016-02-01,10,2016,2,1,473324
"21","BRONX_2016","BRONX",2016-03-01,127,2016,3,1,1436785
"86","BROOKLYN_2016","BROOKLYN",2016-03-01,208,2016,3,1,2606852
"151","MANHATTAN_2016","MANHATTAN",2016-03-01,127,2016,3,1,1634989
"216","QUEENS_2016","QUEENS",2016-03-01,77,2016,3,1,2310011
"281","STATEN_ISLAND_2016","STATEN ISLAND",2016-03-01,17,2016,3,1,473324
"22","BRONX_2016","BRONX",2016-04-01,142,2016,4,1,1436785
"87","BROOKLYN_2016","BROOKLYN",2016-04-01,223,2016,4,1,2606852
"152","MANHATTAN_2016","MANHATTAN",2016-04-01,162,2016,4,1,1634989
"217","QUEENS_2016","QUEENS",2016-04-01,92,2016,4,1,2310011
"282","STATEN_ISLAND_2016","STATEN ISLAND",2016-04-01,12,2016,4,1,473324
"23","BRONX_2016","BRONX",2016-05-01,178,2016,5,1,1436785
"88","BROOKLYN_2016","BROOKLYN",2016-05-01,217,2016,5,1,2606852
"153","MANHATTAN_2016","MANHATTAN",2016-05-01,136,2016,5,1,1634989
"218","QUEENS_2016","QUEENS",2016-05-01,100,2016,5,1,2310011
"283","STATEN_ISLAND_2016","STATEN ISLAND",2016-05-01,27,2016,5,1,473324
"24","BRONX_2016","BRONX",2016-06-01,234,2016,6,1,1436785
"89","BROOKLYN_2016","BROOKLYN",2016-06-01,308,2016,6,1,2606852
"154","MANHATTAN_2016","MANHATTAN",2016-06-01,204,2016,6,1,1634989
"219","QUEENS_2016","QUEENS",2016-06-01,144,2016,6,1,2310011
"284","STATEN_ISLAND_2016","STATEN ISLAND",2016-06-01,18,2016,6,1,473324
"25","BRONX_2016","BRONX",2016-07-01,261,2016,7,1,1436785
"90","BROOKLYN_2016","BROOKLYN",2016-07-01,359,2016,7,1,2606852
"155","MANHATTAN_2016","MANHATTAN",2016-07-01,228,2016,7,1,1634989
"220","QUEENS_2016","QUEENS",2016-07-01,175,2016,7,1,2310011
"285","STATEN_ISLAND_2016","STATEN ISLAND",2016-07-01,18,2016,7,1,473324
"26","BRONX_2016","BRONX",2016-08-01,257,2016,8,1,1436785
"91","BROOKLYN_2016","BROOKLYN",2016-08-01,381,2016,8,1,2606852
"156","MANHATTAN_2016","MANHATTAN",2016-08-01,274,2016,8,1,1634989
"221","QUEENS_2016","QUEENS",2016-08-01,131,2016,8,1,2310011
"286","STATEN_ISLAND_2016","STATEN ISLAND",2016-08-01,23,2016,8,1,473324
"27","BRONX_2016","BRONX",2016-09-01,181,2016,9,1,1436785
"92","BROOKLYN_2016","BROOKLYN",2016-09-01,304,2016,9,1,2606852
"157","MANHATTAN_2016","MANHATTAN",2016-09-01,203,2016,9,1,1634989
"222","QUEENS_2016","QUEENS",2016-09-01,129,2016,9,1,2310011
"287","STATEN_ISLAND_2016","STATEN ISLAND",2016-09-01,13,2016,9,1,473324
"28","BRONX_2016","BRONX",2016-10-01,156,2016,10,1,1436785
"93","BROOKLYN_2016","BROOKLYN",2016-10-01,236,2016,10,1,2606852
"158","MANHATTAN_2016","MANHATTAN",2016-10-01,177,2016,10,1,1634989
"223","QUEENS_2016","QUEENS",2016-10-01,106,2016,10,1,2310011
"288","STATEN_ISLAND_2016","STATEN ISLAND",2016-10-01,12,2016,10,1,473324
"29","BRONX_2016","BRONX",2016-11-01,152,2016,11,1,1436785
"94","BROOKLYN_2016","BROOKLYN",2016-11-01,191,2016,11,1,2606852
"159","MANHATTAN_2016","MANHATTAN",2016-11-01,133,2016,11,1,1634989
"224","QUEENS_2016","QUEENS",2016-11-01,105,2016,11,1,2310011
"289","STATEN_ISLAND_2016","STATEN ISLAND",2016-11-01,18,2016,11,1,473324
