"","borough","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","BRONX","(Intercept)",69.1648947963855,8.00110515274132,8.64441767431196,3.45120480248778e-12,53.1656962269395,85.1640933658316
"2","BRONX","date",-0.00337842981545021,0.00046420220877032,-7.27792705769267,7.70758889878372e-10,-0.00430665950031409,-0.00245020013058634
"3","BRONX","xc",2.34833875946043,0.377783250271453,6.21610078735108,5.04947150326416e-08,1.59291446220159,3.10376305671927
"4","BRONX","xs",3.806008409914,0.373071096204381,10.2018313630733,8.25653766291387e-15,3.06000664706381,4.5520101727642
"5","BROOKLYN","(Intercept)",69.005756851057,5.04069776611803,13.6897231400961,2.92718045622552e-20,58.9262587130961,79.0852549890179
"6","BROOKLYN","date",-0.00351662527083263,0.000292447479705215,-12.0248096320658,9.6977647999935e-18,-0.00410141014862351,-0.00293184039304176
"7","BROOKLYN","xc",1.57669923420137,0.238003519434772,6.6246887354684,1.01902244658491e-08,1.1007817834278,2.05261668497494
"8","BROOKLYN","xs",2.38047448123122,0.235034861477395,10.1281761619017,1.09297884235989e-14,1.910493228925,2.85045573353744
"9","MANHATTAN","(Intercept)",58.6849234122779,5.62331246811771,10.436006134285,3.39745718256655e-15,47.4404151752336,69.9294316493222
"10","MANHATTAN","date",-0.00290224122307725,0.000326249189140024,-8.89578064769266,1.28622013023825e-12,-0.00355461679626711,-0.00224986564988738
"11","MANHATTAN","xc",1.37285700038488,0.265512478706725,5.1705931377383,2.73387987665605e-06,0.841931985852445,1.90378201491731
"12","MANHATTAN","xs",2.46811177210368,0.26220069687019,9.41306335782009,1.71099161457375e-13,1.94380907463994,2.99241446956742
"13","QUEENS","(Intercept)",24.5638585468553,3.06308152553073,8.01932901299426,4.07442429943615e-11,18.4388484856418,30.6888686080689
"14","QUEENS","date",-0.00117929477096102,0.000177711601416432,-6.63600328600706,9.74648467497866e-09,-0.00153465108048054,-0.000823938461441504
"15","QUEENS","xc",0.952652810348976,0.144627632367133,6.58693497747855,1.18214962199124e-08,0.66345198562568,1.24185363507227
"16","QUEENS","xs",1.19627483074908,0.142823667565675,8.37588651193956,9.94547164010779e-12,0.910681256589279,1.48186840490888
"17","STATEN ISLAND","(Intercept)",21.7030363193737,4.12104850528217,5.26638701086768,1.91276999967845e-06,13.4624905333033,29.943582105444
"18","STATEN ISLAND","date",-0.00109199329171677,0.000239091948184955,-4.56725247339586,2.45470739238032e-05,-0.0015700871902898,-0.000613899393143747
"19","STATEN ISLAND","xc",0.131211143344241,0.194581007139795,0.674326571092177,0.502651316354637,-0.257877627724563,0.520299914413044
"20","STATEN ISLAND","xs",0.767375361182081,0.192153965486917,3.9935442354133,0.000177586023321971,0.383139759844139,1.15161096252002
